"University of Texas at San Antonio Schedule of Classes"
""
"These are the search criteria you submitted :"
"Term: Fall 2014"
"Subject:    PHY "
"Course Number: %"
"Attributes: Any"
"Part of Term: Any"
Time Blocks: Any
"Campus: Any"
""
"FALL 2014 (201510)"
"Status","Subject","Course","Section","CRN","Title","Cred","Meeting Days","Times","Campus","Location","Instructor","Date","Weeks","Seats","Enrolled","Available","Final Exam","Fees","Notes","Comments"
"OPEN","PHY","1603","001","10256","Algebra-based Physics I",  3,"MWF","10:00-10:50am","Main Camp","FLN 2.02.10","Koynova, Aneta M.",08/27-12/20,16,119,115,4,Wed  Dec 17  07:00 am - 09:30 am  ,   $60,O, 
"CANCELED","PHY","1603","002","10075","Algebra-based Physics I",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,0,0,0,To be determined by instructor ,   $60,O, 
"OPEN","PHY","1603","003","13338","Algebra-based Physics I",  3,"MWF","2:00-2:50pm","Main Camp","FLN 2.02.10","Dunn, Christopher M.",08/27-12/20,16,119,115,4,Mon  Dec 15  12:30 pm - 03:00 pm  ,   $60,O, 
"OPEN","PHY","1603","004","13339","Algebra-based Physics I",  3,"TR","2:30-3:45pm","Main Camp","FLN 2.03.12","Powell, James R.",08/27-12/20,16,119,115,4,Thu  Dec 18  12:30 pm - 03:00 pm  ,   $60,O, 
"OPEN","PHY","1603","005","16235","Algebra-based Physics I",  3,"MWF","9:00-9:50am","Main Camp","BB 2.01.18","Rubin, Ethan P.",08/27-12/20,16,119,84,35,Tue  Dec 16  07:00 am - 09:30 am  ,   $60,O, 
"CLOSED","PHY","1603","006","17895","Algebra-based Physics I",  3,"MWF","12:00-12:50pm","Main Camp","FLN 2.03.12","Dunn, Christopher M.",08/27-12/20,16,119,121,-2,Tue  Dec 16  03:15 pm - 05:45 pm  ,   $60,O, 
"OPEN","PHY","1603","901","11910","Algebra-based Physics I",  3,"TR","1:30-2:45pm","Downtown ","BV 3.324","Koynova, Aneta M.",08/27-12/20,16,59,50,9,Wed  Dec 17  09:45 am - 12:15 pm  ,   $60,O, 
"OPEN","PHY","1611","001","15619","Algebra-based Physics I Lab",  1,"M","12:00-3:20pm","Main Camp","MS 3.02.30","Harrell, Zachary J.",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","002","17338","Algebra-based Physics I Lab",  1,"M","3:30-6:50pm","Main Camp","MS 3.02.30","Yasmin, Zannatul",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","003","17340","Algebra-based Physics I Lab",  1,"M","7:00-10:20pm","Main Camp","MS 3.02.30","Yasmin, Zannatul",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1611","004","13651","Algebra-based Physics I Lab",  1,"T","8:30-11:50am","Main Camp","MS 3.02.30","Harrell, Zachary J.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","005","10076","Algebra-based Physics I Lab",  1,"T","12:00-3:20pm","Main Camp","MS 3.02.30","Hamby, Robert D.",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","006","10518","Algebra-based Physics I Lab",  1,"T","3:30-6:50pm","Main Camp","MS 3.02.30","Hamby, Robert D.",08/27-12/20,16,24,22,2,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","007","10519","Algebra-based Physics I Lab",  1,"T","7:00-10:20pm","Main Camp","MS 3.02.30","Jurena, Mark T.",08/27-12/20,16,24,21,3,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","008","11067","Algebra-based Physics I Lab",  1,"W","8:30-11:50am","Main Camp","MS 3.02.30","Smith, Kyle J.",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","009","11897","Algebra-based Physics I Lab",  1,"W","12:00-3:20pm","Main Camp","MS 3.02.30","Davis, Ashley E.",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1611","010","17342","Algebra-based Physics I Lab",  1,"W","3:30-6:50pm","Main Camp","MS 3.02.30","Benson, James O.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1611","011","16610","Algebra-based Physics I Lab",  1,"W","7:00-10:20pm","Main Camp","MS 3.02.30","Rubin, Ethan P.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","012","16389","Algebra-based Physics I Lab",  1,"R","8:30-11:50am","Main Camp","MS 3.02.30","Smith, Kyle J.",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1611","013","17344","Algebra-based Physics I Lab",  1,"R","12:00-3:20pm","Main Camp","MS 3.02.30","Benson, James O.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","014","17345","Algebra-based Physics I Lab",  1,"R","3:30-6:50pm","Main Camp","MS 3.02.30","Fuller, Lindsay L.",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","015","17346","Algebra-based Physics I Lab",  1,"R","7:00-10:20pm","Main Camp","MS 3.02.30","Fernandes, Sunil A.",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","016","17347","Algebra-based Physics I Lab",  1,"F","8:30-11:50am","Main Camp","MS 3.02.30","Jurena, Mark T.",08/27-12/20,16,24,22,2,To be determined by instructor ,   $30,O, 
"CANCELED","PHY","1611","017","18056","Algebra-based Physics I Lab",  1,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,24,0,24,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","901","11911","Algebra-based Physics I Lab",  1,"R","3:00-6:20pm","Downtown ","BV 3.340","Hamby, Robert D.",08/27-12/20,16,24,18,6,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1611","902","12204","Algebra-based Physics I Lab",  1,"R","9:00-12:20pm","Downtown ","BV 3.340","Hamby, Robert D.",08/27-12/20,16,24,21,3,To be determined by instructor ,   $30,O, 
"CANCELED","PHY","1611","903","14991","Algebra-based Physics I Lab",  1,"TBA","TBA","Downtown "," ","Staff",08/27-12/20,16,24,0,24,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1623","001","10257","Algebra-based Physics II",  3,"MWF","11:00-11:50am","Main Camp","FLN 2.02.06","Konno, Ichishiro",08/27-12/20,16,100,77,23,Thu  Dec 18  09:45 am - 12:15 pm  ,   $60,O, 
"CLOSED","PHY","1623","002","13342","Algebra-based Physics II",  3,"TR","4:00-5:15pm","Main Camp","FLN 2.02.10","Mendoza Santoyo, Fernando",08/27-12/20,16,119,119,0,Mon  Dec 15  03:15 pm - 05:45 pm  ,   $60,O, 
"OPEN","PHY","1623","003","16276","Algebra-based Physics II",  3,"TR","1:00-2:15pm","Main Camp","FLN 2.02.06","Lopez-Mobilia, Rafael A.",08/27-12/20,16,100,77,23,Wed  Dec 17  09:45 am - 12:15 pm  ,   $60,O, 
"OPEN","PHY","1623","901","17896","Algebra-based Physics II",  3,"TR","10:30-11:45am","Downtown ","DB 2.304","Koynova, Aneta M.",08/27-12/20,16,50,28,22,Mon  Dec 15  09:45 am - 12:15 pm  ,   $60,O, 
"CLOSED","PHY","1631","001","10080","Algebra-based Physics II Lab",  1,"M","12:00-3:20pm","Main Camp","MS 3.02.34","Almuhammad, Anwar S.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1631","002","10081","Algebra-based Physics II Lab",  1,"M","3:30-6:50pm","Main Camp","MS 3.02.34","Benson, James O.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1631","003","10390","Algebra-based Physics II Lab",  1,"M","7:00-10:20pm","Main Camp","MS 3.02.34","Benson, James O.",08/27-12/20,16,24,22,2,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1631","004","10651","Algebra-based Physics II Lab",  1,"T","8:30-11:50am","Main Camp","MS 3.02.34","Almuhammad, Anwar S.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1631","005","17348","Algebra-based Physics II Lab",  1,"T","12:00-3:20pm","Main Camp","MS 3.02.34","Benson, James O.",08/27-12/20,16,24,21,3,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1631","006","17350","Algebra-based Physics II Lab",  1,"T","3:30-6:50pm","Main Camp","MS 3.02.34","Mace, Brennan E.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1631","007","17351","Algebra-based Physics II Lab",  1,"T","7:00-10:20pm","Main Camp","MS 3.02.34","Mace, Brennan E.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1631","008","12487","Algebra-based Physics II Lab",  1,"W","8:30-11:50am","Main Camp","MS 3.02.34","Benson, James O.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1631","009","16391","Algebra-based Physics II Lab",  1,"W","12:00-3:20pm","Main Camp","MS 3.02.34","Benson, James O.",08/27-12/20,16,24,22,2,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1943","001","17352","Physics for Scientists&Engrs I",  3,"TR","11:30-12:45pm","Main Camp","FLN 2.02.02","Mayer, Kathryn",08/27-12/20,16,112,112,0,Tue  Dec 16  09:45 am - 12:15 pm  ,   $60,O, 
"OPEN","PHY","1943","002","17353","Physics for Scientists&Engrs I",  3,"TR","4:00-5:15pm","Main Camp","FLN 2.02.02","Koinov, Zlatko G.",08/27-12/20,16,112,77,35,Mon  Dec 15  03:15 pm - 05:45 pm  ,   $60,O,This section is recommended for Physics and Chemistrymajors  but other majors can enroll.
"OPEN","PHY","1943","003","17354","Physics for Scientists&Engrs I",  3,"MWF","10:00-10:50am","Main Camp","FLN 2.02.02","Dunn, Christopher M.",08/27-12/20,16,112,111,1,Wed  Dec 17  07:00 am - 09:30 am  ,   $60,O, 
"CLOSED","PHY","1943","004","17355","Physics for Scientists&Engrs I",  3,"TR","10:00-11:15am","Main Camp","FLN 2.03.08","Brancaleon, Lorenzo",08/27-12/20,16,112,112,0,Mon  Dec 15  09:45 am - 12:15 pm  ,   $60,O, 
"CLOSED","PHY","1951","001","17356","Physics-Scientists&Engrs I Lab",  1,"M","12:00-3:20pm","Main Camp","MS 3.02.16","Davis, Ashley E.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1951","002","17357","Physics-Scientists&Engrs I Lab",  1,"M","3:30-6:50pm","Main Camp","MS 3.02.16","Benson, James O.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1951","003","17358","Physics-Scientists&Engrs I Lab",  1,"M","7:00-10:20pm","Main Camp","MS 3.02.16","Kereselidze, Zurab",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1951","004","17366","Physics-Scientists&Engrs I Lab",  1,"T","8:30-11:50am","Main Camp","MS 3.02.16","Tek, Sumeyra",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1951","005","17367","Physics-Scientists&Engrs I Lab",  1,"T","12:00-3:20pm","Main Camp","MS 3.02.16","Kononchuk, Rodion",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1951","006","17368","Physics-Scientists&Engrs I Lab",  1,"T","3:30-6:50pm","Main Camp","MS 3.02.16","Dunn, Christopher M.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1951","007","17374","Physics-Scientists&Engrs I Lab",  1,"T","7:00-10:20pm","Main Camp","MS 3.02.16","Benson, James O.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
